นิวยอร์ก	newˑyɔ̂ɔk
ยัดห่า	yátˑhàa
หยัด	yàt
ยัด	yát
ยโสธร	yaˑsǒoˑthɔɔn
ยโส	yaˑsǒo
ยับยู่ยี่	yápˑyûuˑyîi
ยับย่อย	yápˑyɔ̂y
ยับเยิน	yápˑyəən
ยับยั้งชั่งใจ	yápˑyáŋˑchâŋˑcay
ยับยั้ง	yápˑyáŋ
ยับ	yáp
ยรรยง	yanˑyoŋ
ยัญพิธี	yanˑyaˑphíˑthii
ยัญกรรม	yanˑyaˑkam
ยันตรกรรม	yanˑtraˑkam
ยันเต	yanˑtee
ยั่งยืน	yâŋˑyʉʉn
เยื้องยัก	yʉ́aŋˑyák
เยื้องย่าง	yʉ́aŋˑyâaŋ
หยั่งถึง	yàŋˑthʉ̌ŋ
หยั่งท่าที	yàŋˑthâaˑthii
หยั่งเสียง	yàŋˑsǐaŋ
หยั่งทราบ	yàŋˑsâap
หยั่งรู้	yàŋˑrúu
หยั่งราก	yàŋˑrâak
ยังผล	yaŋˑphǒn
ยังงี้	yaŋˑŋíi
ยังไง	yaŋˑŋay
ยังงั้น	yaŋˑŋán
หยั่งลึก	yàŋˑlʉ́k
เยื้องกราย	yʉ́aŋˑkraay
หยั่งความคิดเห็น	yàŋˑkhwaamˑkhítˑhěn
ยังคง	yaŋˑkhoŋ
ยั้งคิด	yáŋˑkhít
ยังกับ	yaŋˑkàp
ยังกะ	yaŋˑkà
หยั่งดูท่าที	yàŋˑduuˑthâaˑthii
ยังชีพ	yaŋˑchîip
หยั่งเชิง	yàŋˑchəəŋ
ยั้งใจ	yáŋˑcay
หยั่ง	yàŋ
ยั้ง	yáŋ
ยัง	yaŋ
หยัน	yǎn
ยั่น	yân
เยือน	yʉan
ยัน	yan
ยัญ	yan
ยันต์	yan
ย่ำยี	yâmˑyii
ย่ำเท้า	yâmˑtháaw
ย่ำรุ่ง	yâmˑrûŋ
หยำเป	yǎmˑpee
ยมล	yaˑmon
ยมก	yaˑmók
ยำเกรง	yamˑkreeŋ
ย้ำคิดย้ำทำ	yámˑkhítˑyámˑtham
ย่ำค่ำ	yâmˑkhâm
ย่ำ	yâm
ย้ำ	yám
ยำ	yam
ยะลา	yáˑlaa
ยักยอก	yákˑyɔ̂ɔk
ยักยิ้ม	yákˑyím
เยือกเย็น	yʉ̂akˑyen
ยักแย่ยักยัน	yákˑyɛ̂ɛˑyákˑyan
หยักไย่	yàkˑyây
ยักเยื้อง	yákˑyʉ́aŋ
ยักย้ายถ่ายเท	yákˑyáayˑthàayˑthee
ยักย้าย	yákˑyáay
ยักท่า	yákˑthâa
หยักศก	yàkˑsòk
ยักษิณี	yákˑsìˑnii
หยักรั้ง	yàkˑráŋ
เยื่อกระดาษ	yʉ̂aˑkràˑdàat
ยักหล่ม	yákˑlòm
ยักไหล่	yákˑlày
ยักกระสาย	yákˑkràˑsǎay
ยักคิ้วหลิ่วตา	yákˑkhíwˑlìwˑtaa
ยักขินี	yákˑkhìˑnii
